sn,ResponseID,rating,StartDate,EndDate,genderq,ageq,edu,socpol,ecopol,polpos,polpref
3,"R_3qe43v2VuzRR2t6",7,"2020-11-29 23:53:00","2020-11-30 00:00:05",2,37,5,3,4,1,1
3,"R_57pU9RwnmRD9tPr",7,"2020-11-29 21:35:17","2020-11-29 21:37:43",1,96,5,6,6,2,6
3,"R_vrIaJB0EsLLan5v",5,"2020-11-29 21:36:11","2020-11-29 21:42:27",1,25,4,3,3,3,4
4,"R_1DqY09i8NhVzuJZ",5,"2020-11-29 22:20:06","2020-11-29 22:25:57",2,50,5,4,5,1,3
4,"R_1rwPyzOMJ7ECB1A",5,"2020-11-29 23:25:07","2020-11-29 23:28:59",1,36,4,3,3,1,2
4,"R_21tWdBPLUa9WECc",5,"2020-11-29 18:57:48","2020-11-29 19:05:02",2,55,3,3,3,3,3
4,"R_27whemu52hpmOD7",6,"2020-11-29 19:36:22","2020-11-29 19:47:27",1,51,6,4,3,2,4
4,"R_29hRkqhejAUIxAz",5,"2020-11-29 23:30:13","2020-11-29 23:36:57",2,30,6,2,5,1,2
4,"R_2ZKdfgAx3z0i5KL",4,"2020-11-29 23:31:19","2020-11-29 23:35:22",2,26,5,5,4,1,2
4,"R_2aS7Anb0S6lPreJ",5,"2020-11-29 23:26:28","2020-11-29 23:33:23",1,51,5,4,4,1,3
4,"R_2cpjdYrjjB6OEjd",6,"2020-11-29 18:22:30","2020-11-29 18:28:34",2,64,5,2,2,3,2
4,"R_2rYpnK1NSZ7YsAj",5,"2020-11-25 15:41:42","2020-11-25 15:44:50",1,32,5,4,3,1,2
4,"R_2zjaEInP523LJjF",5,"2020-11-29 23:41:18","2020-11-29 23:45:22",1,27,5,5,5,1,2
4,"R_3R8uQDkCQctaSbR",6,"2020-11-25 18:24:28","2020-11-25 18:40:56",1,27,5,2,3,1,2
4,"R_3m9wFtFqaTy7ORS",5,"2020-11-29 23:43:56","2020-11-29 23:57:40",1,29,5,6,6,2,6
4,"R_3qjxi4rWWVVQ5pI",4,"2020-11-29 18:00:55","2020-11-29 18:05:21",2,41,5,1,1,1,2
4,"R_AdlXrKFmE65w2EF",4,"2020-11-25 14:47:39","2020-11-25 14:52:07",1,34,4,1,1,1,1
5,"R_1kXQA9nSPiKu0oc",7,"2020-11-29 19:30:41","2020-11-29 19:42:38",2,27,5,4,5,3,3
5,"R_23Tbb2SawYBrFbH",5,"2020-11-29 20:59:57","2020-11-29 21:03:01",2,26,5,1,1,3,1
5,"R_27g7X1oDeToGh9e",5,"2020-11-29 23:25:19","2020-11-29 23:32:30",2,23,5,1,1,1,2
5,"R_2dj7SQ4y5YWVd0R",5,"2020-11-29 23:25:16","2020-11-29 23:29:24",1,25,6,2,4,3,4
5,"R_2uUnRJkgGphMFZY",5,"2020-11-29 23:38:37","2020-11-29 23:44:06",1,22,5,5,5,2,4
5,"R_2zUCjGcDqbWddbP",5,"2020-11-29 19:36:48","2020-11-29 19:41:02",2,26,3,3,4,1,3
5,"R_3HtpGas9BKui5tQ",1,"2020-11-29 17:56:51","2020-11-29 18:02:24",2,30,5,2,4,1,2
5,"R_3Ph7sEx60GzHuIw",6,"2020-11-29 21:33:59","2020-11-29 21:36:47",1,31,6,4,4,2,4
5,"R_3jfng5iIXeBdn7Z",5,"2020-11-29 17:57:18","2020-11-29 18:04:52",1,37,4,2,3,1,2
5,"R_5mCU6GQVdDii2Nr",5,"2020-11-29 21:34:44","2020-11-29 21:39:32",2,46,5,5,5,2,5
5,"R_5o2DNXLDq7PwKqt",5,"2020-11-29 23:38:50","2020-11-29 23:41:55",2,25,5,4,3,2,5
5,"R_Ck9Ekfpnk7BJejn",4,"2020-11-25 14:54:57","2020-11-25 15:04:31",2,40,6,3,3,1,3
5,"R_R3LXAYnGk4Ax2Ux",5,"2020-11-29 23:37:34","2020-11-30 00:03:09",1,25,5,4,3,1,1
5,"R_u9SatPBBbegCeAN",5,"2020-11-29 23:49:24","2020-11-29 23:51:40",1,58,6,5,4,2,5
6,"R_1DU7NXmZN0qJ4Eo",6,"2020-11-25 16:22:48","2020-11-25 16:31:04",1,39,4,4,4,3,3
6,"R_1IBeZNhmUmwIMDp",4,"2020-11-29 19:39:12","2020-11-29 19:44:21",1,46,4,2,2,3,3
6,"R_1NdWD2E6Bb65Whl",7,"2020-11-29 19:37:04","2020-11-29 19:44:03",2,46,6,6,5,1,1
6,"R_1g5bfuucCK4JvQI",5,"2020-11-29 21:33:14","2020-11-29 21:40:34",2,22,3,2,3,2,4
6,"R_1jfe0qVXOjmX3N0",5,"2020-11-29 18:06:48","2020-11-29 18:11:42",1,35,2,2,2,1,2
6,"R_1lzrZf5qRuXEVTK",6,"2020-11-29 18:22:34","2020-11-29 18:27:55",2,49,5,3,4,1,3
6,"R_1rlf89VUl7JMbL5",7,"2020-11-29 19:37:33","2020-11-29 19:54:28",2,49,4,5,5,2,5
6,"R_22PlKA2gloKBHPk",5,"2020-11-29 19:52:29","2020-11-29 19:57:29",1,53,5,4,5,1,2
6,"R_27UuPStCNwiUQws",5,"2020-11-29 23:37:43","2020-11-30 00:25:42",2,50,5,5,4,2,5
6,"R_2P1fY36R6Ahj8p5",6,"2020-11-29 23:36:10","2020-11-29 23:42:53",1,29,4,2,2,1,1
6,"R_2Sq9RSS5bHuQ0XI",6,"2020-11-29 18:08:16","2020-11-29 18:11:03",1,58,5,5,4,2,6
6,"R_2VedDR91hYBbElI",4,"2020-11-29 17:56:33","2020-11-29 17:59:28",1,30,6,1,5,3,3
6,"R_2XpTteUdTXX6mcM",5,"2020-11-29 17:57:41","2020-11-29 18:03:06",1,31,2,1,1,3,3
6,"R_3iCHuie4Qqvc56x",7,"2020-11-29 21:34:16","2020-11-29 21:39:39",2,52,6,1,1,1,1
6,"R_3jfng5iIXeBdn7Z",6,"2020-11-29 17:57:18","2020-11-29 18:04:52",1,37,4,2,3,1,2
6,"R_3mJ1dfuWDLKiJLH",4,"2020-11-29 18:08:50","2020-11-29 18:11:49",2,58,5,5,5,1,1
6,"R_6FskKKNrwL8bUZ3",6,"2020-11-29 17:57:22","2020-11-29 18:02:08",2,47,5,4,4,2,5
6,"R_Ck9Ekfpnk7BJejn",4,"2020-11-25 14:54:57","2020-11-25 15:04:31",2,40,6,3,3,1,3
6,"R_XYPL1GymLEQeXVD",5,"2020-11-25 15:35:13","2020-11-25 15:37:58",2,49,4,5,5,2,6
6,"R_vcYr0ifevhFu9oZ",5,"2020-11-30 00:26:14","2020-11-30 00:32:09",2,48,5,4,5,1,2
7,"R_12ijL38saVHRf0Y",6,"2020-11-30 00:04:17","2020-11-30 00:08:03",1,36,5,5,4,2,5
7,"R_1MTetGVQ6pqDbqJ",7,"2020-11-29 19:58:59","2020-11-29 20:00:56",2,36,5,6,6,1,1
7,"R_1gFJ0I1zSQMsGoa",7,"2020-11-29 19:35:46","2020-11-29 19:43:22",1,29,2,3,2,1,3
7,"R_1j9aWmD8pHYhqTU",5,"2020-11-29 21:35:58","2020-11-29 21:45:27",1,51,6,4,5,1,2
7,"R_2DUpRH6tt0xTNhg",5,"2020-11-29 23:27:39","2020-11-29 23:34:34",1,43,5,4,4,3,4
7,"R_2EvfnynkrBy5jZO",5,"2020-11-29 23:27:38","2020-11-29 23:30:58",2,20,4,1,2,1,2
7,"R_2UfpmKtVbQhJ2DM",7,"2020-11-29 19:35:32","2020-11-29 19:37:48",1,42,6,2,2,1,3
7,"R_2f1l92VzdHrw4iP",5,"2020-11-25 14:56:12","2020-11-25 15:15:05",1,31,4,3,3,3,3
7,"R_2rJf8uFXvM7uLYL",5,"2020-11-30 00:27:26","2020-11-30 00:41:46",1,37,5,6,5,2,6
7,"R_2zSkshYjG3SnSKV",3,"2020-11-29 17:56:43","2020-11-29 17:58:25",1,45,5,2,2,1,3
7,"R_3IYIjamauwu2zu2",7,"2020-11-29 19:02:40","2020-11-29 19:10:09",1,34,5,6,6,2,4
7,"R_3OcXZ9WnMzBOXlE",3,"2020-11-29 21:44:33","2020-11-29 21:48:17",2,52,5,4,3,1,2
7,"R_3PX3ibRPJIsMya9",2,"2020-11-25 15:38:44","2020-11-25 15:56:07",1,24,5,1,3,1,2
7,"R_3g0H3EUmlrTuNzp",7,"2020-11-29 23:26:22","2020-11-29 23:34:33",1,45,5,6,6,2,5
7,"R_3hhzaA1AE98Bn3L",6,"2020-11-25 15:29:47","2020-11-25 15:33:50",1,37,2,2,1,1,1
7,"R_3kHUJdfJf5KlhPo",6,"2020-11-29 23:25:03","2020-11-29 23:29:19",2,28,5,1,1,3,1
7,"R_3lGmB1CVdrcwxE8",7,"2020-11-29 21:34:22","2020-11-29 21:38:49",2,34,5,1,1,1,1
7,"R_3paSIu4d8rbmqNU",4,"2020-11-29 23:26:23","2020-11-29 23:31:41",1,60,5,5,4,1,2
7,"R_4UymFkqyBYQ49CV",6,"2020-11-29 23:32:46","2020-11-29 23:36:24",2,55,6,3,3,3,4
7,"R_6xk0sfr8f9qPTgd",7,"2020-11-29 19:31:13","2020-11-29 19:38:11",2,58,4,2,2,1,2
7,"R_DI9ZQrpyZYsKkW5",7,"2020-11-29 23:25:32","2020-11-29 23:31:45",1,47,5,5,6,2,6
7,"R_pLf5d5kriNDYJKF",5,"2020-11-25 14:08:26","2020-11-25 14:11:19",1,30,5,5,5,1,5
7,"R_qw1T48ASyiHCS3v",6,"2020-11-30 00:30:49","2020-11-30 00:43:30",1,29,5,1,1,2,6
8,"R_1CyiCEzxz1HeR7Y",7,"2020-11-29 22:12:54","2020-11-29 22:15:57",1,33,5,5,6,1,1
